a,33,48,44,23,26,36,50,50,52,63,33,0,61,85,28,16,19,113,116,12,7,0,0.4550295857988166,0.7743195266272189,1,1
b,0,25,22,22,59,52,49,48,49,53,0,0,0,6,211,28,8,18,68,65,0,0,0.7412437767490611,0.8408157917722072,1,1
c,26,43,45,24,26,26,27,28,34,37,26,0,35,88,71,33,16,11,18,35,24,0,0.5682840236686391,0.8963313609467456,0,1
d,0,25,22,22,58,50,49,48,51,61,0,0,0,76,59,18,9,47,208,6,0,0,0.7030526877892489,0.8364631541473834,1,1
e,26,35,41,45,25,26,28,29,36,48,26,0,56,95,59,35,24,22,29,45,31,0,0.666508875739645,0.7848520710059171,1,1
f,65,38,23,23,73,23,23,23,23,25,65,0,0,0,12,190,21,12,23,0,0,0,0.7498821755113583,0.9257705721557169,0,1
g,0,49,43,42,31,12,86,56,30,29,0,0,0,53,108,40,38,97,67,18,0,0,0.6735901461176187,0.7094553797850501,1,1
h,130,25,23,23,67,53,46,45,45,49,130,0,0,17,205,15,5,17,120,8,0,0,0.8726552926760298,0.8488076161749458,0,1
i,0,24,0,0,39,24,23,23,23,25,0,0,0,0,0,15,152,7,0,0,0,0,0.9825148458855688,0.9179470261099066,0,2
j,0,10,0,0,24,22,22,22,22,36,0,0,0,0,0,26,12,191,0,0,0,0,0.8626584940808846,0.9290006610179676,0,2
k,0,25,23,23,80,32,30,61,53,56,0,0,0,19,206,23,46,60,27,7,0,0,0.7079789201183432,0.8354752218934911,0,1
l,65,25,23,23,23,23,23,23,23,25,65,0,0,0,0,13,205,7,0,0,0,0,0.9830804034310491,0.982797624658309,0,1
m,0,0,0,92,71,68,68,78,0,0,0,0,125,29,6,18,117,11,7,41,104,0,0.9495215136240778,0.9278252611585945,0,1
n,0,76,57,48,46,46,46,47,50,130,0,0,19,126,32,10,6,14,74,117,9,0,0.9364444444444444,0.9039111111111111,0,1
o,0,37,45,51,54,54,54,52,45,38,0,0,78,85,28,11,7,13,30,103,75,0,0.9673387943709305,0.9648183154799412,1,1
p,65,62,51,50,49,50,53,54,23,25,65,0,0,23,185,27,10,15,45,94,0,0,0.6625043357613597,0.7995143947277142,1,1
q,0,54,50,49,49,50,55,59,23,25,0,0,0,91,46,15,8,27,183,8,0,0,0.6808510638297872,0.8171118153010412,1,1
r,65,63,28,24,23,23,23,23,23,29,65,0,0,15,126,127,21,10,13,23,0,0,0.6031494140625,0.8538818359375,0,1
s,19,27,20,23,40,48,33,26,27,33,19,0,0,43,66,38,35,45,94,31,0,0,0.7719526627218934,0.7598816568047337,0,1
t,19,12,25,23,23,23,23,23,23,31,19,0,0,0,6,142,26,13,12,0,0,0,0.755770068224706,0.9317027144723472,0,1
u,0,74,46,44,44,44,44,48,58,68,0,0,9,117,28,9,7,11,59,126,9,0,0.8858655953250548,0.8582907231555881,0,1
v,0,50,34,31,30,30,29,29,27,17,0,0,12,42,74,66,47,15,20,33,10,0,0.8065886134067952,0.6160468319559229,0,1
w,0,0,138,59,60,58,57,44,18,0,0,0,28,88,46,20,34,95,31,20,18,0,0.8126822157434402,0.7156393169512703,0,1
x,0,51,36,36,34,27,35,35,35,46,0,3,18,47,58,60,42,58,59,41,15,3,0.753173828125,0.740966796875,0,1
y,0,39,33,31,31,29,21,8,5,27,0,0,0,24,70,80,52,14,41,9,0,0,0.8422222222222222,0.8011111111111111,0,1
z,0,41,33,28,28,28,28,28,36,47,0,0,13,48,51,50,49,50,50,38,37,0,0.6695641219450743,0.6504157218442933,0,1
A,0,20,38,40,41,41,43,42,43,71,0,4,15,50,30,26,83,87,101,48,10,4,0.7913791597519434,0.6687483623023844,1,1
B,131,73,69,66,64,75,68,69,69,76,131,0,10,87,200,24,16,34,120,165,70,0,0.69405,0.79355,2,1
C,31,59,48,41,35,36,36,41,42,48,31,0,72,148,72,35,20,15,16,27,83,0,0.6043990929705215,0.9370068027210884,0,1
D,0,72,68,67,68,69,69,68,71,83,0,0,22,200,48,12,11,21,43,100,130,0,0.6521003915984336,0.9331612673549305,1,1
E,175,52,39,37,42,60,39,32,43,63,175,0,10,40,200,37,21,58,15,39,39,0,0.6149,0.908,0,1
F,94,54,40,38,48,63,41,33,33,38,94,0,0,18,200,200,19,24,97,21,0,0,0.6841,0.9145,0,1
G,33,59,49,42,36,36,36,74,67,76,33,5,136,97,38,17,11,20,54,100,10,5,0.743265306122449,0.8671655328798186,0,1
H,0,123,68,65,65,169,65,65,68,115,0,8,24,200,35,15,7,15,39,200,26,8,0.993648393194707,0.9717202268431002,0,1
I,94,39,33,33,33,33,33,33,33,38,94,0,0,0,10,36,200,34,10,0,0,0,0.99215,0.99985,0,1
J,17,37,32,32,32,32,32,32,33,53,17,0,0,0,30,10,48,221,8,0,0,0,0.7208865514650639,0.939519158527423,0,1
K,0,63,45,43,50,82,74,74,75,94,0,4,22,200,86,46,61,75,82,39,12,4,0.6207280170879317,0.8427821288714845,0,1
L,175,39,33,33,33,33,33,36,44,64,175,0,10,41,200,44,13,5,6,14,41,0,0.60095,0.92405,0,1
M,0,0,87,85,83,84,82,81,71,0,0,0,32,67,88,85,20,18,28,200,29,0,0.761268522537045,0.8048546097092194,0,1
N,0,62,56,55,55,55,54,55,44,37,0,4,22,50,57,53,52,52,55,66,11,4,0.7346030615877537,0.7342470630117479,0,1
O,0,43,58,67,72,73,71,67,60,48,0,11,127,75,29,14,10,14,31,79,124,11,0.9794238683127572,0.9849108367626886,1,1
P,94,70,69,69,71,99,33,33,33,38,94,0,8,22,200,200,16,18,50,84,32,0,0.6174,0.8094,1,1
Q,0,47,62,70,72,70,67,58,85,108,0,0,114,90,34,29,40,49,74,166,83,0,0.7468069120961683,0.695307697561642,2,1
R,143,72,69,69,68,86,70,67,67,74,143,0,13,200,200,19,26,83,158,96,11,0,0.7536,0.8453,1,1
S,25,38,31,34,60,72,48,40,42,50,25,0,0,61,93,59,50,66,123,36,0,0,0.7668027210884354,0.740498866213152,0,1
T,0,72,48,33,33,33,33,33,33,40,0,11,19,9,10,24,200,21,10,9,20,11,0.9873606305267205,0.8822087658592849,0,1
