l 13 13 9 9 9 9 9 10 9 14 13 0 0 0 0 11 54 11 0 0 0 0 0.9670781893004116 0.9698216735253772 0 1
t 0 8 7 23 9 10 11 15 13 15 0 0 0 0 7 43 47 12 13 0 0 0 0.7312 0.8576 0 1
o 0 18 17 19 19 20 21 17 26 16 0 0 18 29 25 13 13 14 29 26 12 0 0.8933518005540166 0.9044321329639889 1 1
e 0 19 18 18 32 30 9 14 25 13 0 0 12 27 32 19 19 19 24 22 0 0 0.8448753462603878 0.7562326869806094 1 1
t 5 8 7 22 14 9 9 15 15 15 5 0 0 0 6 42 47 13 19 0 0 0 0.7352430555555556 0.8394097222222222 0 1
M 0 0 36 26 29 29 27 28 40 0 0 0 14 37 25 21 12 19 36 37 14 0 0.8291420118343196 0.7507396449704142 0 1
r 12 23 21 17 9 9 9 8 9 18 12 0 0 9 35 35 32 10 13 11 0 0 0.6682098765432098 0.7947530864197531 0 1
d 5 14 10 10 25 19 18 19 20 32 5 0 0 14 30 15 11 49 53 7 0 0 0.7023319615912208 0.7503429355281207 1 1
W 0 0 47 25 23 26 24 20 14 0 0 4 7 19 25 19 15 32 18 25 11 4 0.9032 0.612 2 1
h 22 13 9 10 23 20 18 18 19 29 22 0 0 9 53 53 8 12 32 6 0 0 0.7818930041152263 0.7722908093278463 0 1
r 0 26 24 16 10 9 10 10 17 17 0 0 0 13 36 36 34 13 13 9 0 0 0.6689750692520776 0.8157894736842105 0 1
l 0 12 10 9 9 9 8 9 12 18 0 0 0 0 9 35 34 28 4 0 0 0 0.9182098765432098 0.9182098765432098 0 1
a 8 19 15 18 19 20 20 24 27 26 8 0 14 31 35 17 17 31 31 20 12 0 0.6759259259259259 0.7222222222222222 2 1
d 13 12 9 9 24 18 19 18 19 32 13 0 0 19 31 11 10 52 54 5 0 0 0.6433470507544582 0.7640603566529492 1 1
e 0 15 15 15 30 28 9 13 15 14 0 0 6 24 31 18 17 18 22 15 0 0 0.8393351800554016 0.8310249307479224 1 1
o 0 19 17 18 20 21 19 17 24 13 0 0 14 26 32 13 12 12 32 25 12 0 0.9196675900277008 0.8836565096952909 1 1
V 0 33 27 14 13 13 13 11 9 6 0 0 6 10 26 32 15 18 14 8 6 0 0.85125 0.55625 0 1
d 0 13 10 10 27 17 18 20 19 31 0 0 0 17 30 13 10 52 52 4 0 0 0.6989795918367347 0.7678571428571429 1 1
e 0 15 23 15 31 30 10 14 19 15 0 0 9 23 31 19 20 18 23 19 0 0 0.8587257617728532 0.817174515235457 1 1
r 12 25 22 17 9 9 9 10 9 19 12 0 0 9 35 36 34 11 13 12 0 0 0.6527777777777778 0.816358024691358 0 1
t 0 8 7 24 15 9 13 16 15 15 0 0 0 0 6 41 48 14 20 0 0 0 0.7648 0.8464 0 1
r 12 26 22 17 9 10 9 9 10 18 12 0 0 10 36 36 33 10 13 11 0 0 0.6574074074074074 0.7993827160493827 0 1
o 8 20 15 17 20 21 20 17 17 20 8 6 15 28 32 11 12 12 32 28 18 6 0.9459876543209876 0.9737654320987654 1 1
